2025-07-10 05:23:45.152273+00:00 - Talking detected
2025-07-10 05:23:45.195856+00:00 - Talking detected
2025-07-10 05:23:45.230701+00:00 - Talking detected
2025-07-10 05:23:45.253264+00:00 - Talking detected
2025-07-10 05:23:45.771430+00:00 - Talking detected
2025-07-10 05:23:45.870554+00:00 - Talking detected
2025-07-10 05:23:45.917235+00:00 - Talking detected
2025-07-10 05:23:45.953394+00:00 - Talking detected
2025-07-10 05:23:56.345494+00:00 - Talking detected
2025-07-10 05:23:56.345494+00:00 - Talking detected
2025-07-10 05:23:56.353072+00:00 - Talking detected
2025-07-10 05:23:56.395499+00:00 - Talking detected
2025-07-10 05:23:56.497933+00:00 - Talking detected
2025-07-10 05:23:56.538629+00:00 - Talking detected
2025-07-10 05:23:56.979253+00:00 - Talking detected
2025-07-10 05:23:57.009322+00:00 - Talking detected
2025-07-10 05:23:57.040136+00:00 - Talking detected
2025-07-10 05:23:57.051969+00:00 - Talking detected
2025-07-10 05:23:57.073328+00:00 - Talking detected
2025-07-10 05:23:57.089078+00:00 - Talking detected
2025-07-10 05:23:57.798493+00:00 - Talking detected
2025-07-10 05:23:57.802437+00:00 - Talking detected
2025-07-10 05:23:57.808417+00:00 - Talking detected
2025-07-10 05:23:57.808417+00:00 - Talking detected
2025-07-10 05:23:57.808822+00:00 - Talking detected
2025-07-10 05:23:57.821271+00:00 - Talking detected
2025-07-10 05:23:58.123445+00:00 - Talking detected
2025-07-10 05:23:58.140546+00:00 - Talking detected
2025-07-10 05:24:03.421226+00:00 - Talking detected
2025-07-10 05:24:03.551171+00:00 - Talking detected
2025-07-10 05:24:03.557532+00:00 - Talking detected
2025-07-10 05:24:03.569331+00:00 - Talking detected
2025-07-10 05:24:03.676857+00:00 - Talking detected
2025-07-10 05:24:03.683240+00:00 - Talking detected
2025-07-10 05:24:04.518672+00:00 - Talking detected
2025-07-10 05:24:04.526256+00:00 - Talking detected
2025-07-10 05:24:04.553108+00:00 - Talking detected
2025-07-10 05:24:04.557162+00:00 - Talking detected
2025-07-10 05:24:04.559035+00:00 - Talking detected
2025-07-10 05:24:04.566566+00:00 - Talking detected
2025-07-10 05:24:04.875245+00:00 - Talking detected
2025-07-10 05:24:04.903425+00:00 - Talking detected
2025-07-10 05:24:04.933708+00:00 - Talking detected
2025-07-10 05:24:04.941200+00:00 - Talking detected
2025-07-10 05:24:04.948013+00:00 - Talking detected
2025-07-10 05:24:04.975241+00:00 - Talking detected
2025-07-10 05:24:05.260257+00:00 - Talking detected
2025-07-10 05:24:05.359325+00:00 - Talking detected
2025-07-10 05:24:05.389482+00:00 - Talking detected
2025-07-10 05:24:05.390435+00:00 - Talking detected
2025-07-10 05:24:05.398390+00:00 - Talking detected
2025-07-10 05:24:05.443880+00:00 - Talking detected
